subject_id,subject_name
0,ART
1,CHINESE
2,ENGLISH LANGUAGE
3,FOUNDATION CHINESE
4,HIGHER CHINESE
5,HIGHER MALAY
6,HIGHER TAMIL
7,MALAY
8,MATHEMATICS
9,MUSIC
10,PHYSICAL EDUCATION
11,SCIENCE
12,SOCIAL STUDIES
13,TAMIL
14,DESIGN & TECHNOLOGY
15,FOOD AND CONSUMER EDUCATION
16,FOUNDATION ENGLISH LANGUAGE
17,FOUNDATION MALAY
18,FOUNDATION TAMIL
19,CHINESE B
20,H1 BIOLOGY
21,H1 CHEMISTRY
22,H1 CHINESE LANGUAGE
23,H1 ECONOMICS
24,H1 GENERAL PAPER
25,H1 HISTORY
26,H1 MALAY LANGUAGE
27,H1 PHYSICS
28,H1 PROJECT WORK
29,H1 TAMIL LANGUAGE
30,H2 ART
31,H2 BIOLOGY
32,H2 CHEMISTRY
33,H2 ECONOMICS
34,H2 HISTORY
35,H2 PHYSICS
36,H3 BIOLOGY
37,H3 CHEMISTRY
38,H3 PHYSICS
39,NTU MOLECULAR BIOLOGY
40,NTU SEMICONDUCTOR PHYSICS & DEVICES
41,H1 ART
42,H1 FRENCH LANGUAGE
43,H1 GERMAN LANGUAGE
44,H1 JAPANESE LANGUAGE
45,H2 COMPUTING
46,H2 FRENCH LANGUAGE
47,H2 GERMAN LANGUAGE
48,H2 JAPANESE LANGUAGE
49,H2 KNOWLEDGE & INQUIRY
50,H2 MUSIC
51,MALAY B
52,TAMIL B
53,CO-CURRICULAR ACTIVITIES
54,H3 ART
55,H3 HISTORY
56,H3 MUSIC
57,NUS GEOPOLITICS: WAR & PEACE
58,FOUNDATION BENGALI
59,H2 TRANSLATION (CHINESE)
60,H3 ECONOMICS
61,INDIVIDUALISED STUDY OPTION
62,FOUNDATION HINDI
